"input technique,input type,subject id,timestamp,time needed in ms,input"
"default,key pressed,4,2017-06-21 16:39:37.754267,0.000021,""t"""
"default,key pressed,4,2017-06-21 16:39:37.793147,0.038862,""h"""
"default,key pressed,4,2017-06-21 16:39:37.913072,0.119900,""e"""
"default,key pressed,4,2017-06-21 16:39:38.081150,0.168051,"" """
"default,key pressed,4,2017-06-21 16:39:38.241107,0.159928,""q"""
"default,word typed,4,2017-06-21 16:39:38.241181,0.486948,""the q"""
"default,key pressed,4,2017-06-21 16:39:38.329088,0.087955,""u"""
"default,key pressed,4,2017-06-21 16:39:38.417154,0.088038,""i"""
"default,key pressed,4,2017-06-21 16:39:38.609206,0.192027,""c"""
"default,key pressed,4,2017-06-21 16:39:38.689246,0.080008,""k"""
"default,key pressed,4,2017-06-21 16:39:38.801374,0.112085,"" """
"default,word typed,4,2017-06-21 16:39:38.801534,0.560338,""uick """
"default,key pressed,4,2017-06-21 16:39:39.025237,0.223837,""b"""
"default,key pressed,4,2017-06-21 16:39:39.217153,0.191891,""r"""
"default,key pressed,4,2017-06-21 16:39:39.305221,0.088034,""o"""
"default,key pressed,4,2017-06-21 16:39:39.433615,0.128369,""w"""
"default,key pressed,4,2017-06-21 16:39:39.569171,0.135532,""n"""
"default,word typed,4,2017-06-21 16:39:39.569303,0.767764,""brown"""
"default,key pressed,4,2017-06-21 16:39:39.641149,0.071952,"" """
"default,key pressed,4,2017-06-21 16:39:39.809145,0.167970,""f"""
"default,key pressed,4,2017-06-21 16:39:39.897668,0.088492,""o"""
"default,key pressed,4,2017-06-21 16:39:40.033263,0.135571,""x"""
"default,key pressed,4,2017-06-21 16:39:40.129212,0.095922,"" """
"default,word typed,4,2017-06-21 16:39:40.129272,0.559967,"" fox """
"default,key pressed,4,2017-06-21 16:39:40.249314,0.120076,""j"""
"default,key pressed,4,2017-06-21 16:39:40.481190,0.231851,""u"""
"default,key pressed,4,2017-06-21 16:39:40.689135,0.207921,""m"""
"default,key pressed,4,2017-06-21 16:39:40.785742,0.096568,""p"""
"default,key pressed,4,2017-06-21 16:39:40.961456,0.175675,""s"""
"default,word typed,4,2017-06-21 16:39:40.961553,0.832266,""jumps"""
"default,key pressed,4,2017-06-21 16:39:41.057292,0.095751,"" """
"default,key pressed,4,2017-06-21 16:39:41.129336,0.071998,""o"""
"default,key pressed,4,2017-06-21 16:39:41.289336,0.159990,""v"""
"default,key pressed,4,2017-06-21 16:39:41.449272,0.159903,""e"""
"default,key pressed,4,2017-06-21 16:39:41.521655,0.072360,""r"""
"default,word typed,4,2017-06-21 16:39:41.521792,0.560225,"" over"""
"default,key pressed,4,2017-06-21 16:39:41.593371,0.071688,"" """
"default,key pressed,4,2017-06-21 16:39:41.721999,0.128596,""t"""
"default,key pressed,4,2017-06-21 16:39:41.833590,0.111540,""h"""
"default,key pressed,4,2017-06-21 16:39:41.905687,0.072064,""e"""
"default,key pressed,4,2017-06-21 16:39:42.001150,0.095448,"" """
"default,word typed,4,2017-06-21 16:39:42.001207,0.479413,"" the """
"default,key pressed,4,2017-06-21 16:39:42.082272,0.081093,""l"""
"default,key pressed,4,2017-06-21 16:39:42.241236,0.158938,""a"""
"default,key pressed,4,2017-06-21 16:39:42.401204,0.159941,""z"""
"default,key pressed,4,2017-06-21 16:39:42.585992,0.184752,""y"""
"default,key pressed,4,2017-06-21 16:39:42.705168,0.119153,"" """
"default,word typed,4,2017-06-21 16:39:42.705242,0.704027,""lazy """
"default,key pressed,4,2017-06-21 16:39:42.849243,0.144049,""d"""
"default,key pressed,4,2017-06-21 16:39:42.938086,0.088722,""o"""
"default,key pressed,4,2017-06-21 16:39:43.057527,0.119422,""g"""
"default,sentence typed,4,2017-06-21 16:39:43.177124,5.422854,""the quick brown fox jumps over the lazy dog"""
"default,key pressed,4,2017-06-21 16:39:43.881554,0.824000,""j"""
"default,key pressed,4,2017-06-21 16:39:44.025232,0.143646,""a"""
"default,key pressed,4,2017-06-21 16:39:44.193293,0.168036,""c"""
"default,key pressed,4,2017-06-21 16:39:44.297570,0.104237,""k"""
"default,key pressed,4,2017-06-21 16:39:45.057310,0.759726,""d"""
"default,word typed,4,2017-06-21 16:39:45.057372,2.352125,""jackd"""
"default,key pressed,4,2017-06-21 16:39:45.233554,0.176208,""a"""
"default,key pressed,4,2017-06-21 16:39:45.681333,0.447757,""w"""
"default,key pressed,4,2017-06-21 16:39:45.849952,0.168595,""s"""
"default,key pressed,4,2017-06-21 16:39:45.961277,0.111291,"" """
"default,key pressed,4,2017-06-21 16:39:46.065258,0.103956,""l"""
"default,word typed,4,2017-06-21 16:39:46.065319,1.007942,""aws l"""
"default,key pressed,4,2017-06-21 16:39:46.241405,0.176124,""o"""
"default,key pressed,4,2017-06-21 16:39:46.337325,0.095893,""v"""
"default,key pressed,4,2017-06-21 16:39:46.489284,0.151933,""e"""
"default,key pressed,4,2017-06-21 16:39:46.545695,0.056384,"" """
"default,key pressed,4,2017-06-21 16:39:46.722668,0.176925,""m"""
"default,word typed,4,2017-06-21 16:39:46.722742,0.657416,""ove m"""
"default,key pressed,4,2017-06-21 16:39:46.873393,0.150701,""y"""
"default,key pressed,4,2017-06-21 16:39:47.025395,0.151974,"" """
"default,key pressed,4,2017-06-21 16:39:47.481250,0.455830,""b"""
"default,key pressed,4,2017-06-21 16:39:47.593228,0.111954,""i"""
"default,key pressed,4,2017-06-21 16:39:47.689315,0.096058,""g"""
"default,word typed,4,2017-06-21 16:39:47.689399,0.966650,""y big"""
"default,key pressed,4,2017-06-21 16:39:47.785418,0.096078,"" """
"default,key pressed,4,2017-06-21 16:39:48.073529,0.288084,""s"""
"default,key pressed,4,2017-06-21 16:39:48.162277,0.088640,""p"""
"default,key pressed,4,2017-06-21 16:39:48.273507,0.111243,""h"""
"default,key pressed,4,2017-06-21 16:39:48.409806,0.136203,""i"""
"default,word typed,4,2017-06-21 16:39:48.410025,0.720550,"" sphi"""
"default,key pressed,4,2017-06-21 16:39:48.514803,0.104777,""n"""
"default,key pressed,4,2017-06-21 16:39:48.761336,0.246522,""x"""
"default,key pressed,4,2017-06-21 16:39:48.849445,0.088083,"" """
"default,key pressed,4,2017-06-21 16:39:49.033373,0.183902,""o"""
"default,key pressed,4,2017-06-21 16:39:49.105384,0.071982,""f"""
"default,word typed,4,2017-06-21 16:39:49.105447,0.695447,""nx of"""
"default,key pressed,4,2017-06-21 16:39:49.217449,0.112037,"" """
"default,key pressed,4,2017-06-21 16:39:49.433367,0.215892,""q"""
"default,key pressed,4,2017-06-21 16:39:49.537374,0.103983,""u"""
"default,key pressed,4,2017-06-21 16:39:49.649359,0.111959,""a"""
"default,key pressed,4,2017-06-21 16:39:49.737464,0.088078,""r"""
"default,word typed,4,2017-06-21 16:39:49.737594,0.632137,"" quar"""
"default,key pressed,4,2017-06-21 16:39:49.897410,0.159920,""z"""
"default,key pressed,4,2017-06-21 16:39:50.145509,0.248067,""t"""
"default,key pressed,4,2017-06-21 16:39:50.529439,0.383905,""z"""
"default,key pressed,4,2017-06-21 16:39:50.657508,0.128044,""r"""
"default,key pressed,4,2017-06-21 16:39:50.761602,0.104067,""t"""
"default,word typed,4,2017-06-21 16:39:50.761733,1.024130,""quart"""
"default,key pressed,4,2017-06-21 16:39:50.857888,0.096251,""z"""
"default,sentence typed,4,2017-06-21 16:39:51.065275,7.888122,""jackdaws love my big sphinx of quartz"""
"default,key pressed,4,2017-06-21 16:39:51.841451,0.983541,""t"""
"default,key pressed,4,2017-06-21 16:39:51.906171,0.064672,""h"""
"default,key pressed,4,2017-06-21 16:39:52.017494,0.111298,""e"""
"default,key pressed,4,2017-06-21 16:39:52.081891,0.064347,"" """
"default,key pressed,4,2017-06-21 16:39:52.233573,0.151658,""f"""
"default,word typed,4,2017-06-21 16:39:52.233646,1.471909,""the f"""
"default,key pressed,4,2017-06-21 16:39:52.337509,0.103909,""i"""
"default,key pressed,4,2017-06-21 16:39:52.521459,0.183923,""v"""
"default,key pressed,4,2017-06-21 16:39:52.721508,0.200025,""e"""
"default,key pressed,4,2017-06-21 16:39:52.793530,0.071994,"" """
"default,key pressed,4,2017-06-21 16:39:52.953447,0.159891,""b"""
"default,word typed,4,2017-06-21 16:39:52.953520,0.719867,""ive b"""
"default,key pressed,4,2017-06-21 16:39:53.050247,0.096772,""o"""
"default,key pressed,4,2017-06-21 16:39:53.217503,0.167229,""x"""
"default,key pressed,4,2017-06-21 16:39:53.353450,0.135922,""i"""
"default,key pressed,4,2017-06-21 16:39:53.433476,0.079999,""n"""
"default,key pressed,4,2017-06-21 16:39:53.569577,0.136073,""g"""
"default,word typed,4,2017-06-21 16:39:53.569652,0.616126,""oxing"""
"default,key pressed,4,2017-06-21 16:39:53.682977,0.113366,"" """
"default,key pressed,4,2017-06-21 16:39:53.833488,0.150491,""w"""
"default,key pressed,4,2017-06-21 16:39:53.883071,0.049488,""i"""
"default,key pressed,4,2017-06-21 16:39:54.041555,0.158476,""z"""
"default,key pressed,4,2017-06-21 16:39:54.113527,0.071949,""a"""
"default,word typed,4,2017-06-21 16:39:54.113596,0.543939,"" wiza"""
"default,key pressed,4,2017-06-21 16:39:54.209422,0.095871,""r"""
"default,key pressed,4,2017-06-21 16:39:54.393682,0.184233,""d"""
"default,key pressed,4,2017-06-21 16:39:54.537598,0.143890,""s"""
"default,key pressed,4,2017-06-21 16:39:54.642004,0.104366,"" """
"default,key pressed,4,2017-06-21 16:39:54.713940,0.071897,""j"""
"default,word typed,4,2017-06-21 16:39:54.714015,0.600409,""rds j"""
"default,key pressed,4,2017-06-21 16:39:54.898006,0.184013,""u"""
"default,key pressed,4,2017-06-21 16:39:55.097498,0.199491,""m"""
"default,key pressed,4,2017-06-21 16:39:55.169761,0.072235,""p"""
"default,key pressed,4,2017-06-21 16:39:55.409456,0.239669,"" """
"default,key pressed,4,2017-06-21 16:39:55.553547,0.144063,""q"""
"default,word typed,4,2017-06-21 16:39:55.553625,0.839604,""ump q"""
"default,key pressed,4,2017-06-21 16:39:55.658024,0.104450,""u"""
"default,key pressed,4,2017-06-21 16:39:55.721529,0.063480,""i"""
"default,key pressed,4,2017-06-21 16:39:55.865626,0.144067,""c"""
"default,key pressed,4,2017-06-21 16:39:55.977525,0.111874,""k"""
"default,key pressed,4,2017-06-21 16:39:56.321505,0.343952,""l"""
"default,word typed,4,2017-06-21 16:39:56.321580,0.767949,""uickl"""
"default,key pressed,4,2017-06-21 16:39:56.457704,0.136173,""y"""
"default,sentence typed,4,2017-06-21 16:39:56.601507,5.536207,""the five boxing wizards jump quickly"""
"default,key pressed,4,2017-06-21 16:39:57.385719,0.927990,""c"""
"default,key pressed,4,2017-06-21 16:39:57.577681,0.191936,""r"""
"default,key pressed,4,2017-06-21 16:39:57.665780,0.088074,""a"""
"default,key pressed,4,2017-06-21 16:39:57.793518,0.127709,""z"""
"default,key pressed,4,2017-06-21 16:39:57.938564,0.145006,""y"""
"default,word typed,4,2017-06-21 16:39:57.938730,1.617128,""crazy"""
"default,key pressed,4,2017-06-21 16:39:58.090571,0.151812,"" """
"default,key pressed,4,2017-06-21 16:39:58.547382,0.456810,""F"""
"default,key pressed,4,2017-06-21 16:39:58.921535,0.374129,""r"""
"default,key pressed,4,2017-06-21 16:39:59.089685,0.168124,""e"""
"default,key pressed,4,2017-06-21 16:39:59.425693,0.335979,""d"""
"default,word typed,4,2017-06-21 16:39:59.425755,1.487023,"" Fred"""
"default,key pressed,4,2017-06-21 16:39:59.625717,0.200001,""e"""
"default,key pressed,4,2017-06-21 16:39:59.689634,0.063889,""r"""
"default,key pressed,4,2017-06-21 16:39:59.945635,0.255976,""i"""
"default,key pressed,4,2017-06-21 16:40:00.081651,0.135990,""c"""
"default,key pressed,4,2017-06-21 16:40:00.162381,0.080687,""k"""
"default,word typed,4,2017-06-21 16:40:00.162480,0.736705,""erick"""
"default,key pressed,4,2017-06-21 16:40:00.281777,0.119383,"" """
"default,key pressed,4,2017-06-21 16:40:00.353731,0.071922,""b"""
"default,key pressed,4,2017-06-21 16:40:00.529633,0.175880,""o"""
"default,key pressed,4,2017-06-21 16:40:00.609641,0.079984,""u"""
"default,key pressed,4,2017-06-21 16:40:00.756465,0.146781,""g"""
"default,word typed,4,2017-06-21 16:40:00.756640,0.594151,"" boug"""
"default,key pressed,4,2017-06-21 16:40:00.905699,0.149217,""h"""
"default,key pressed,4,2017-06-21 16:40:00.970128,0.064392,""t"""
"default,key pressed,4,2017-06-21 16:40:01.057751,0.087601,"" """
"default,key pressed,4,2017-06-21 16:40:01.161704,0.103927,""m"""
"default,key pressed,4,2017-06-21 16:40:01.265613,0.103881,""a"""
"default,word typed,4,2017-06-21 16:40:01.265676,0.509038,""ht ma"""
"default,key pressed,4,2017-06-21 16:40:01.393675,0.128039,""n"""
"default,key pressed,4,2017-06-21 16:40:01.521908,0.128198,""y"""
"default,key pressed,4,2017-06-21 16:40:01.625656,0.103724,"" """
"default,key pressed,4,2017-06-21 16:40:01.753961,0.128270,""v"""
"default,key pressed,4,2017-06-21 16:40:01.921831,0.167844,""e"""
"default,word typed,4,2017-06-21 16:40:01.921988,0.656298,""ny ve"""
"default,key pressed,4,2017-06-21 16:40:02.001937,0.080081,""r"""
"default,key pressed,4,2017-06-21 16:40:02.177696,0.175737,""y"""
"default,key pressed,4,2017-06-21 16:40:02.305685,0.127961,"" """
"default,key pressed,4,2017-06-21 16:40:02.689661,0.383952,""e"""
"default,key pressed,4,2017-06-21 16:40:02.929834,0.240146,""x"""
"default,word typed,4,2017-06-21 16:40:02.929970,1.007975,""ry ex"""
"default,key pressed,4,2017-06-21 16:40:03.257619,0.327759,""q"""
"default,key pressed,4,2017-06-21 16:40:03.353532,0.095887,""u"""
"default,key pressed,4,2017-06-21 16:40:03.433836,0.080278,""i"""
"default,key pressed,4,2017-06-21 16:40:03.601792,0.167929,""s"""
"default,key pressed,4,2017-06-21 16:40:03.730138,0.128301,""i"""
"default,word typed,4,2017-06-21 16:40:03.730264,0.800264,""quisi"""
"default,key pressed,4,2017-06-21 16:40:04.545784,0.815626,""t"""
"default,key pressed,4,2017-06-21 16:40:04.697789,0.151979,""e"""
"default,key pressed,4,2017-06-21 16:40:04.745819,0.048001,"" """
"default,key pressed,4,2017-06-21 16:40:04.849827,0.103981,""o"""
"default,key pressed,4,2017-06-21 16:40:04.994282,0.144315,""p"""
"default,word typed,4,2017-06-21 16:40:04.994469,1.264193,""te op"""
"default,key pressed,4,2017-06-21 16:40:05.161989,0.167699,""a"""
"default,key pressed,4,2017-06-21 16:40:05.305809,0.143794,""l"""
"default,key pressed,4,2017-06-21 16:40:05.369770,0.063935,"" """
"default,key pressed,4,2017-06-21 16:40:05.681790,0.311993,""j"""
"default,key pressed,4,2017-06-21 16:40:05.802638,0.120707,""e"""
"default,word typed,4,2017-06-21 16:40:05.802797,0.808312,""al je"""
"default,key pressed,4,2017-06-21 16:40:05.961810,0.159225,""w"""
"default,key pressed,4,2017-06-21 16:40:06.025898,0.064060,""e"""
"default,key pressed,4,2017-06-21 16:40:06.145871,0.119948,""i"""
"default,key pressed,4,2017-06-21 16:40:06.241774,0.095877,""l"""
"default,key pressed,4,2017-06-21 16:40:06.281925,0.040122,""s"""
"default,word typed,4,2017-06-21 16:40:06.281999,0.479208,""weils"""
"default,sentence typed,4,2017-06-21 16:40:06.555018,9.952975,""crazy Frederick bought many very exquisite opal jeweils"""
"default,key pressed,4,2017-06-21 16:40:07.842052,1.560097,""t"""
"default,key pressed,4,2017-06-21 16:40:07.921877,0.079796,""h"""
"default,key pressed,4,2017-06-21 16:40:08.058072,0.136166,""e"""
"default,key pressed,4,2017-06-21 16:40:08.170379,0.112278,"" """
"default,key pressed,4,2017-06-21 16:40:08.441967,0.271560,""q"""
"default,word typed,4,2017-06-21 16:40:08.442062,2.160044,""the q"""
"default,key pressed,4,2017-06-21 16:40:08.738474,0.296338,""u"""
"default,key pressed,4,2017-06-21 16:40:08.858031,0.119640,""i"""
"default,key pressed,4,2017-06-21 16:40:09.026488,0.168416,""c"""
"default,key pressed,4,2017-06-21 16:40:09.137932,0.111425,""k"""
"default,key pressed,4,2017-06-21 16:40:09.250115,0.112149,"" """
"default,word typed,4,2017-06-21 16:40:09.250219,0.808149,""uick """
"default,key pressed,4,2017-06-21 16:40:09.418388,0.168245,""o"""
"default,key pressed,4,2017-06-21 16:40:09.553747,0.135334,""n"""
"default,key pressed,4,2017-06-21 16:40:09.705987,0.152212,""y"""
"default,key pressed,4,2017-06-21 16:40:10.001885,0.295867,""s"""
"default,key pressed,4,2017-06-21 16:40:10.481903,0.479988,""y"""
"default,word typed,4,2017-06-21 16:40:10.481974,1.231752,""k ony"""
"default,key pressed,4,2017-06-21 16:40:10.570503,0.088576,""x"""
"default,key pressed,4,2017-06-21 16:40:10.721989,0.151460,"" """
"default,key pressed,4,2017-06-21 16:40:11.057896,0.335881,""g"""
"default,key pressed,4,2017-06-21 16:40:11.161937,0.104014,""o"""
"default,key pressed,4,2017-06-21 16:40:11.266019,0.104042,""b"""
"default,word typed,4,2017-06-21 16:40:11.266418,0.784415,""x gob"""
"default,key pressed,4,2017-06-21 16:40:11.377873,0.111836,""l"""
"default,key pressed,4,2017-06-21 16:40:11.481946,0.104047,""i"""
"default,key pressed,4,2017-06-21 16:40:11.570077,0.088106,""n"""
"default,key pressed,4,2017-06-21 16:40:11.738695,0.168570,"" """
"default,key pressed,4,2017-06-21 16:40:11.842076,0.103345,""j"""
"default,word typed,4,2017-06-21 16:40:11.842237,0.575816,""lin j"""
"default,key pressed,4,2017-06-21 16:40:12.010661,0.168488,""u"""
"default,key pressed,4,2017-06-21 16:40:12.193973,0.183356,""m"""
"default,key pressed,4,2017-06-21 16:40:12.282387,0.088381,""p"""
"default,key pressed,4,2017-06-21 16:40:12.385908,0.103500,""s"""
"default,key pressed,4,2017-06-21 16:40:12.490017,0.104081,"" """
